"","revenue","budget","primary_genre"
"1",373554033,3e+07,"Animation"
"2",262797249,6.5e+07,"Adventure"
"4",81452156,1.6e+07,"Comedy"
"6",187436818,6e+07,"Action"
"9",64350171,3.5e+07,"Action"
"10",352194034,5.8e+07,"Adventure"
"11",107879496,6.2e+07,"Comedy"
"14",13681765,4.4e+07,"History"
"15",10017322,9.8e+07,"Action"
"16",116112375,5.2e+07,"Drama"
"17",1.35e+08,16500000,"Drama"
"18",4300000,4e+06,"Crime"
"19",212385533,3e+07,"Crime"
"20",35431113,6e+07,"Action"
"21",115101622,30250000,"Comedy"
"23",30303072,5e+07,"Action"
"25",49800000,3600000,"Drama"
"27",27400000,1.2e+07,"Comedy"
"29",1738611,1.8e+07,"Fantasy"
"32",168840000,29500000,"Science Fiction"
"34",254134910,3e+07,"Fantasy"
"36",39363635,1.1e+07,"Drama"
"44",122195920,1.8e+07,"Action"
"45",21284514,2e+07,"Fantasy"
"46",23574130,1e+07,"Drama"
"47",327311859,3.3e+07,"Crime"
"48",346079773,5.5e+07,"Adventure"
"50",23341568,6e+06,"Drama"
"52",6700000,1.5e+07,"Comedy"
"69",28215918,3500000,"Comedy"
"70",25836616,1.9e+07,"Horror"
"71",11534477,5e+07,"Action"
"75",2042530,1.5e+07,"Comedy"
"76",5781885,2e+07,"Horror"
"81",529766,8e+06,"Drama"
"86",10300000,3.8e+07,"Action"
"89",8175346,8169363,"Crime"
"91",12379402,4.7e+07,"Drama"
"92",19800000,1.4e+07,"Comedy"
"94",150270147,5e+07,"Action"
"100",560069,7e+06,"Comedy"
"103",41205099,1.2e+07,"Comedy"
"104",182016617,2.4e+07,"Drama"
"109",2.1e+08,7.2e+07,"Action"
"110",28262574,1300000,"Crime"
"111",32392047,7500000,"Crime"
"118",6278139,2.5e+07,"Comedy"
"121",70100000,4e+07,"Comedy"
"124",14702438,7e+06,"Comedy"
"131",9851610,5e+07,"Action"
"140",185260553,3.1e+07,"Comedy"
"143",141407024,1.9e+07,"Action"
"146",851545,4e+06,"Romance"
"148",355237933,5.2e+07,"Drama"
"149",31596911,2.8e+07,"Adventure"
"151",336529144,1e+08,"Action"
"154",1275000,2e+06,"Comedy"
"155",178104,1.1e+07,"Action"
"156",287928194,5e+07,"Fantasy"
"157",13071518,2.5e+07,"Mystery"
"158",152022101,5e+07,"Action"
"159",157387195,5.3e+07,"Action"
"161",25405445,7e+06,"Thriller"
"162",16140822,2.7e+07,"Drama"
"163",366101666,9e+07,"Action"
"166",127600435,5.5e+07,"Action"
"168",7563728,2e+07,"Action"
"170",19075720,2.5e+07,"Adventure"
"171",113493481,9e+07,"Science Fiction"
"173",7412216,1500000,"Drama"
"174",1148752,5e+05,"Drama"
"178",2122561,6e+06,"Romance"
"179",6.6e+07,1.5e+07,"Action"
"181",1,2,"Thriller"
"183",110627965,2.2e+07,"Crime"
"185",472370,150000,"Comedy"
"186",16,8,"Fantasy"
"189",10382407,5e+07,"Drama"
"191",20350754,4.5e+07,"Drama"
"192",8349430,7e+06,"Comedy"
"194",113374103,3.5e+07,"Science Fiction"
"196",7959291,4.2e+07,"Crime"
"198",5780000,1.4e+07,"Thriller"
"202",104324083,6e+07,"Action"
"205",50012507,2e+07,"Drama"
"206",264218220,1.75e+08,"Adventure"
"211",2616503,2800000,"Drama"
"213",5535405,2500000,"Drama"
"214",26488734,1e+07,"Comedy"
"216",23450000,2.1e+07,"Comedy"
"220",3151130,27000,"Comedy"
"221",22200000,2.5e+07,"Romance"
"222",214015089,5.5e+07,"Drama"
"228",247275374,1.6e+07,"Comedy"
"232",5887457,1.8e+07,"Comedy"
"237",12201255,1.5e+07,"Drama"
"243",7830611,7e+05,"Documentary"
"244",3049135,5e+06,"Drama"
"245",26325256,10500000,"Comedy"
"250",223664608,6e+07,"Horror"
"251",2474000,1.4e+07,"Drama"
"253",3.7e+07,6e+07,"Comedy"
"257",775398007,1.1e+07,"Adventure"
"262",21665468,2e+06,"Drama"
"263",160638883,3e+07,"Adventure"
"268",7603766,1.7e+07,"Drama"
"270",112006296,4.5e+07,"Drama"
"275",5,6,"Comedy"
"279",106683817,3.1e+07,"Drama"
"285",50282766,3.4e+07,"Crime"
"289",189859560,5e+07,"Action"
"290",45284974,1.6e+07,"Thriller"
"291",2832826,1.1e+07,"Comedy"
"293",213928762,8e+06,"Thriller"
"295",152322,4e+05,"Comedy"
"300",18552460,3.2e+07,"Action"
"301",12400000,2.2e+07,"Drama"
"302",11300653,1.5e+07,"Drama"
"310",9771658,3.5e+07,"Animation"
"312",170362582,4.5e+07,"Action"
"313",196567262,5.5e+07,"Action"
"314",189833357,2.2e+07,"Fantasy"
"315",28341469,2.5e+07,"Drama"
"323",4064495,2.5e+07,"Action"
"325",1.2e+08,3.8e+07,"Science Fiction"
"326",1.2e+07,6e+06,"Crime"
"333",10032765,1.1e+07,"Romance"
"334",24048000,3e+07,"Action"
"335",182057016,1.7e+07,"Comedy"
"338",15119639,3e+06,"Drama"
"340",107217396,1.5e+07,"Comedy"
"343",1862805,5e+06,"Thriller"
"345",215887717,6.2e+07,"Action"
"346",117615211,4.5e+07,"Drama"
"349",9.4e+07,1.5e+07,"Fantasy"
"351",341631208,4.6e+07,"Fantasy"
"352",677945399,5.5e+07,"Comedy"
"353",254700832,6e+06,"Comedy"
"356",61947267,4.5e+07,"Action"
"360",788241776,4.5e+07,"Family"
"361",4858139,3.5e+07,"Drama"
"362",18090181,1.4e+07,"Horror"
"363",351583407,2.3e+07,"Romance"
"366",51132598,3e+07,"Comedy"
"368",20079850,11500000,"Drama"
"369",2e+06,8e+06,"Crime"
"373",350448145,3e+07,"Action"
"375",101646581,2.7e+07,"Thriller"
"376",378882411,1.15e+08,"Action"
"379",25052000,6.3e+07,"Drama"
"383",29392418,1e+07,"Action"
"387",20851521,7e+06,"Crime"
"389",99423521,3.5e+07,"Action"
"401",36800000,2.6e+07,"Action"
"403",8946600,8e+06,"Horror"
"408",32255440,3.4e+07,"Drama"
"410",21011500,17080000,"Comedy"
"416",119208989,5e+07,"Action"
"422",428868,1.3e+07,"Horror"
"424",17287898,2.2e+07,"Drama"
"426",2570145,1.3e+07,"Drama"
"427",36516012,3e+07,"Action"
"430",255000211,7e+07,"Action"
"432",19726050,4e+07,"Drama"
"437",7993039,6900000,"Comedy"
"438",159055768,5.7e+07,"Crime"
"449",11146270,3e+07,"Comedy"
"450",270248367,4.2e+07,"Drama"
"451",153698625,2e+07,"Family"
"453",368875760,4.4e+07,"Adventure"
"454",18635620,3.5e+07,"History"
"460",74189677,1.8e+07,"Action"
"462",133752825,2.5e+07,"Action"
"470",176997168,4e+07,"Action"
"471",65796862,1.3e+07,"Drama"
"476",920100000,6.3e+07,"Adventure"
"477",2395231,9e+06,"Thriller"
"478",418961,1500000,"Action"
"481",137298489,8.5e+07,"Adventure"
"488",11285588,13500000,"Comedy"
"489",27900000,3500000,"Drama"
"490",121969216,5.5e+07,"Action"
"496",441286195,2.5e+07,"Comedy"
"498",15826984,1.2e+07,"Adventure"
"500",15340000,2e+07,"Action"
"503",135130999,3e+07,"Crime"
"504",206678440,2.6e+07,"Drama"
"505",116700000,7e+06,"Drama"
"506",27515786,1.4e+07,"Drama"
"510",11439193,1.1e+07,"Comedy"
"511",23237911,11500000,"Drama"
"512",24332324,4e+07,"Comedy"
"515",10696210,2.2e+07,"Action"
"516",35739755,2e+07,"Comedy"
"517",3275585,11500000,"Action"
"519",1001437,8e+05,"Drama"
"520",22750363,1.2e+07,"Drama"
"523",321365567,2.2e+07,"Drama"
"528",7820688,1.3e+07,"Comedy"
"529",48063435,2.5e+07,"Adventure"
"535",227799884,2.1e+07,"Comedy"
"536",116300000,4e+07,"Drama"
"537",33139618,2.8e+07,"Science Fiction"
"539",11585483,2e+07,"Comedy"
"542",20915465,4.8e+07,"Adventure"
"543",7690013,7400000,"Action"
"544",16478900,5e+07,"Action"
"547",75634409,1.8e+07,"Fantasy"
"548",53898845,3e+07,"Action"
"549",56505065,2.5e+07,"Action"
"551",12281551,12500000,"Action"
"553",13670688,2.7e+07,"Fantasy"
"580",476684675,1.8e+07,"Comedy"
"581",5.05e+08,2.2e+07,"Fantasy"
"582",504050219,2.8e+07,"Animation"
"583",5.2e+08,1e+08,"Action"
"584",424208848,2.2e+07,"Adventure"
"586",411348924,3.5e+07,"Fantasy"
"587",272742922,1.9e+07,"Crime"
"588",184925486,1488423,"Fantasy"
"589",377350553,2.5e+07,"Romance"
"590",84300000,2600000,"Animation"
"591",4.63e+08,1.4e+07,"Romance"
"593",638641,6244087,"Adventure"
"601",60611975,7e+06,"Crime"
"604",16675000,4e+06,"Horror"
"609",55675257,4e+06,"Animation"
"620",102616183,3e+07,"Crime"
"631",4939939,1.2e+07,"Comedy"
"638",100860818,4.6e+07,"Drama"
"639",457696359,8e+07,"Adventure"
"644",115267375,5.7e+07,"Fantasy"
"652",28921264,3.8e+07,"Adventure"
"655",9789900,1.3e+07,"Comedy"
"663",250200000,8e+07,"Animation"
"664",2500000,9e+06,"Science Fiction"
"678",10070000,2.5e+07,"Comedy"
"691",57400547,3e+07,"Action"
"696",74151346,3.1e+07,"Animation"
"698",20080020,25530000,"Adventure"
"702",1.5e+07,3.5e+07,"War"
"709",24769466,1.5e+07,"Drama"
"716",3014000,4800000,"Action"
"717",335062621,7.5e+07,"Action"
"720",494471524,9.2e+07,"Action"
"731",14048372,2.5e+07,"Action"
"733",9440272,1800000,"Drama"
"744",17300889,4.5e+07,"Adventure"
"745",113309743,5e+07,"Drama"
"748",58620973,4.5e+07,"Comedy"
"759",16491080,4e+06,"Drama"
"761",816969268,7.5e+07,"Action"
"763",18626419,5.5e+07,"Drama"
"764",100138851,1e+08,"Drama"
"765",102825796,4.7e+07,"Comedy"
"766",25023434,2.7e+07,"Comedy"
"767",242295562,1e+08,"Action"
"769",128769345,5.4e+07,"Fantasy"
"778",159212469,8e+07,"Action"
"779",29359216,3e+07,"Horror"
"780",13269963,5e+06,"Drama"
"782",152036382,3.2e+07,"Drama"
"784",9482579,3500000,"Comedy"
"785",152266007,4e+07,"Crime"
"789",17193231,2.5e+07,"Action"
"806",4619014,1.3e+07,"Fantasy"
"807",116400000,2.6e+07,"Comedy"
"809",309492681,8e+07,"Action"
"813",60209334,5e+07,"Action"
"814",33459416,3.6e+07,"Comedy"
"815",22231658,6e+06,"Drama"
"816",17917287,1.3e+07,"Action"
"819",5600000,1.5e+07,"Horror"
"825",12643776,6e+06,"Comedy"
"826",42277365,5e+07,"Action"
"828",3011195,2962051,"Drama"
"829",53854588,4.5e+07,"Comedy"
"830",3e+05,2e+05,"Drama"
"835",245066411,6e+06,"Drama"
"837",20483423,9e+05,"Action"
"838",431326,5e+05,"Drama"
"841",7011317,4500000,"Crime"
"854",33956608,6e+07,"Horror"
"855",49627779,4e+07,"Fantasy"
"860",22611954,2.5e+07,"Action"
"865",15116634,5e+06,"Horror"
"873",7200000,2540800,"Comedy"
"874",4500000,2723903,"Drama"
"876",9500000,2500000,"Comedy"
"877",2.8e+07,2479000,"Mystery"
"878",36764313,1e+06,"Drama"
"879",4500000,325000,"Comedy"
"882",13275000,4e+06,"Mystery"
"883",2.5e+07,3e+06,"Comedy"
"884",2.5e+07,2883848,"Comedy"
"885",13474588,4e+06,"Comedy"
"886",10462500,878000,"Drama"
"887",1e+06,375000,"Mystery"
"888",72070731,1.7e+07,"Drama"
"889",1e+07,2238813,"Comedy"
"890",1.2e+07,1500000,"Comedy"
"893",33754967,2777000,"Adventure"
"894",400176459,4e+06,"Drama"
"896",5e+06,1752000,"Drama"
"897",23217674,839727,"Mystery"
"898",68700000,10500000,"Science Fiction"
"900",63463,1400000,"Drama"
"901",2270000,1688000,"Comedy"
"902",6e+06,1288000,"Drama"
"904",24464742,2e+06,"Thriller"
"905",7e+06,1500000,"Drama"
"907",8750000,2500000,"Crime"
"910",2279000,1365000,"Comedy"
"914",3981000,2033000,"Action"
"916",2e+06,1020000,"Drama"
"919",3202000,609000,"Comedy"
"922",3.5e+07,5400000,"Action"
"923",5,1,"Drama"
"924",1423000,226408,"Comedy"
"926",4.2e+07,6e+06,"Adventure"
"927",9644124,3180000,"Drama"
"928",9600000,1500000,"Comedy"
"942",3e+07,114000,"Horror"
"943",10750000,1300000,"Adventure"
"945",17570324,3e+06,"Drama"
"950",25,4,"Drama"
"963",51702483,2.5e+07,"Action"
"964",16900000,2.8e+07,"Drama"
"968",47267001,6.7e+07,"Action"
"970",41590886,9e+06,"Drama"
"972",49620,2300000,"Comedy"
"975",17380126,3.8e+07,"Drama"
"978",22540359,5e+07,"Crime"
"991",28200000,5e+06,"Adventure"
"992",154864401,1.4e+07,"Comedy"
"994",263591415,2900000,"Family"
"997",22182353,3e+06,"Animation"
"999",390493908,4.8e+07,"Adventure"
"1000",102272727,6e+06,"Comedy"
"1001",1600000,812000,"Animation"
"1003",17900000,2e+07,"Adventure"
"1004",5.72e+08,3e+06,"Animation"
"1005",29800000,1.2e+07,"Adventure"
"1007",286214286,8200000,"Drama"
"1008",140767956,2.8e+07,"Action"
"1009",32101000,1e+07,"Horror"
"1013",13417292,4500000,"Drama"
"1016",1985001,1.6e+07,"Drama"
"1019",89456761,6.5e+07,"Crime"
"1020",7.5e+07,5e+07,"Adventure"
"1025",5731103,2400000,"Drama"
"1026",2154540,4.5e+07,"Action"
"1027",405000,7e+06,"Drama"
"1030",147298761,14500000,"Drama"
"1031",4505922,2e+05,"Comedy"
"1032",165615285,4.4e+07,"Crime"
"1043",4e+06,3e+06,"Family"
"1046",18344729,2e+06,"Comedy"
"1047",11833696,2e+06,"Comedy"
"1048",62493712,7500000,"Comedy"
"1049",20045115,4e+06,"Comedy"
"1052",25333333,1.2e+07,"Adventure"
"1053",50700000,2500000,"Crime"
"1055",3e+06,1400000,"Crime"
"1057",213954274,6e+06,"Drama"
"1058",14661007,1200000,"Crime"
"1059",138530565,6e+06,"Drama"
"1060",30218387,6500000,"Comedy"
"1061",352927224,4.9e+07,"Thriller"
"1062",34416893,3.8e+07,"Drama"
"1063",62548947,3705538,"Romance"
"1064",10725228,12500000,"Crime"
"1065",30036000,1.2e+07,"Drama"
"1066",792965326,10500000,"Science Fiction"
