,genres,id,revenue,rating
0, Action,949,187436818.0,3.5
16, Adventure,710,352194034.0,1.0
18, Action,1408,10017322.0,1.0
61, Drama,524,116112375.0,2.0
97, Drama,4584,135000000.0,5.0
98, Crime,5,4300000.0,4.5
154, Comedy,8012,115101622.0,5.0
158, Drama,451,49800000.0,3.0
165, Fantasy,902,1738611.0,3.0
209, Science Fiction,63,168840000.0,3.0
215, Drama,687,39363635.0,3.0
217, Fantasy,577,21284514.0,3.0
219, Music,2054,106269971.0,3.0
295, Comedy,4482,0.0,4.0
299, Horror,755,25836616.0,2.0
300, Drama,880,0.0,1.0
325, Drama,8447,0.0,1.0
326, Crime,2086,8175346.0,5.0
327, Drama,2045,0.0,3.0
332, Drama,688,182016617.0,3.0
342, Crime,103,28262574.0,4.0
346, Comedy,2074,14702438.0,4.0
347, Fantasy,27793,0.0,2.0
349, Drama,568,355237933.0,3.0
351, Action,414,336529144.0,3.0
358, Drama,1873,0.0,3.0
371, Fantasy,8839,287928194.0,2.5
372, Action,8963,157387195.0,0.5
373, Documentary,26564,3174695.0,0.5
375, Action,1572,366101666.0,4.5
378, Mystery,8973,0.0,3.5
386, Crime,1642,110627965.0,2.0
390, Crime,281,7959291.0,3.0
408, Action,3512,104324083.0,3.0
427, Adventure,26258,0.0,4.5
432, Drama,76,5535405.0,3.0
447, Comedy,2292,3151130.0,4.0
448, Romance,1909,22200000.0,3.0
495, Drama,8984,214015089.0,2.0
529, Action,4954,0.0,4.0
534, Comedy,522,5887457.0,3.0
543, Drama,1024,3049135.0,3.0
547, Horror,628,223664608.0,4.0
597, Adventure,11,775398007.0,2.5
679, Drama,3036,112006296.0,4.0
683, Comedy,8986,18137661.0,4.0
684, Drama,1945,106683817.0,4.0
713, Crime,241,50282766.0,3.0
717, Drama,527,2201126.0,4.0
961, Action,6950,189859560.0,2.5
962, Thriller,101,45284974.0,4.0
979, Comedy,2307,0.0,4.0
980, Thriller,680,213928762.0,2.0
986, Drama,110,0.0,4.0
1214, Drama,108,0.0,4.0
1215, Action,2636,170362582.0,5.0
1216, Action,2164,196567262.0,1.0
1218, Drama,278,28341469.0,2.0
1223, Science Fiction,193,120000000.0,1.0
1258, Drama,95963,0.0,3.5
1259, Romance,1587,10032765.0,3.0
1283, Comedy,2064,182057016.0,5.0
1325, Drama,236,15119639.0,4.5
1385, Drama,2759,11220670.0,1.0
1407, Fantasy,888,341631208.0,4.0
1410, Comedy,13,677945399.0,3.0
1418, Drama,1689,4858139.0,4.5
1430, Romance,854,351583407.0,4.0
1431, Drama,2788,20079850.0,5.0
1453, Action,8987,0.0,4.0
1455, Thriller,8831,101646581.0,2.5
1456, Action,315,0.0,3.0
1500, Action,8011,36800000.0,2.0
1505, Horror,2654,8946600.0,4.0
1509, Comedy,2758,48919043.0,4.0
1510, Action,306,119208989.0,5.0
1542, Drama,178,30156002.0,5.0
1547, Horror,4722,428868.0,4.0
1550, Comedy,26391,3662459.0,2.5
1552, Drama,2124,19726050.0,4.0
1587, Drama,49299,0.0,4.0
1588, Adventure,5503,368875760.0,1.0
1589, Drama,2087,30.0,5.0
1627, Action,2019,74189677.0,4.0
1681, Comedy,26271,0.0,4.0
1682, Romance,2259,0.0,2.0
1693, Drama,7984,65796862.0,3.5
1694, Action,6,12136938.0,4.0
1798, Adventure,329,920100000.0,3.0
1912, Action,507,418961.0,3.0
1929, Drama,1413,1499795.0,3.0
1933, Drama,2246,46405336.0,2.0
1934, Action,2320,121969216.0,4.0
1938, Drama,5879,0.0,3.0
1941, Drama,2625,0.0,4.0
1942, Comedy,788,441286195.0,3.5
2010, Drama,1245,23237911.0,4.0
2037, Action,7007,107198790.0,4.0
2043, Action,2088,3275585.0,3.0
2068, Drama,424,321365567.0,4.0
2071, Adventure,8850,48063435.0,2.5
2072, Comedy,695,6110979.0,4.0
2074, Comedy,858,227799884.0,5.0
2274, Drama,867,116300000.0,3.0
2275, Science Fiction,78,33139618.0,3.0
2285, Action,319,12281551.0,1.0
2323, History,32562,0.0,4.0
2324, Fantasy,251,505000000.0,3.0
2325, Action,280,520000000.0,5.0
2347, Adventure,581,424208848.0,3.0
2364, Thriller,80350,0.0,0.5
2366, Fantasy,268,411348924.0,5.0
2370, Crime,274,272742922.0,2.0
2373, Fantasy,408,184925486.0,3.0
2374, Romance,114,463000000.0,3.0
2375, Comedy,7300,97529550.0,3.5
2377, Crime,275,60611975.0,3.0
2382, Crime,1592,102616183.0,3.0
2389, Comedy,2021,218626.0,4.0
2419, Adventure,954,457696359.0,4.0
2450, Fantasy,8840,115267375.0,2.5
2451, Drama,5801,536364.0,4.0
2454, Drama,896,16000.0,3.0
2457, Animation,2300,250200000.0,4.0
2490, Drama,27768,0.0,3.5
2491, Drama,753,0.0,3.0
2496, Comedy,8866,0.0,3.5
2500, Drama,922,0.0,1.0
2539, Action,664,494471524.0,3.0
2541, Family,532,0.0,3.5
2559, Drama,935,9440272.0,4.0
2565, Comedy,7095,58620973.0,2.5
2566, Drama,627,16491080.0,4.0
2575, Drama,81949,65352.0,3.0
2576, Crime,1645,152266007.0,3.0
2636, Drama,4837,0.0,3.5
2638, Comedy,2925,116400000.0,4.0
2645, Drama,3573,22231658.0,0.5
2647, Drama,549,3011195.0,5.0
2659, Drama,238,245066411.0,1.0
2664, Comedy,159,0.0,4.0
2672, Fantasy,3587,0.0,4.0
2673, Comedy,981,0.0,1.0
2674, Comedy,872,7200000.0,5.0
2675, Drama,2769,4500000.0,2.0
2681, Comedy,164,9500000.0,4.0
2707, Mystery,426,28000000.0,2.0
2719, Drama,567,36764313.0,3.0
2721, Comedy,3078,4500000.0,3.5
2723, Mystery,213,13275000.0,4.0
2732, Comedy,239,25000000.0,3.0
2747, Drama,289,10462500.0,4.0
2761, Mystery,963,1000000.0,3.0
2763, Comedy,6620,10000000.0,1.5
2780, Comedy,804,12000000.0,3.5
2794, Comedy,909,0.0,4.0
2827, Adventure,630,33754967.0,4.0
2829, Drama,599,5000000.0,4.0
2843, Mystery,15,23217674.0,2.5
2854, Science Fiction,62,68700000.0,3.0
2941, Drama,705,63463.0,2.5
2944, Drama,223,6000000.0,1.0
