"","primary_genre","rev","bud"
"1","Animation",31925443.7212823,9160253.67675868
"2","Adventure",55661346.169749,18582637.7932629
"3","Romance",8067314.11754828,2506186.01679261
"4","Comedy",8599912.78854875,3170124.25022676
"5","Action",27194210.0782086,10948233.1595365
"6","Family",26103690.8091603,6801317.3148855
"7","History",7076794.25089606,3345330.22580645
"8","Drama",6061904.23132208,2674340.2690122
"9","Crime",8059615.76379822,4049836.47299703
"10","Fantasy",27688403.1022727,10064989.5710227
"11","Science Fiction",26805459.137558,8445717.39567233
"12","Thriller",9217943.06066066,4063523.78798799
"13","Music",3715968.79671458,1774195.13141684
"14","Horror",6524870.3844979,2139623.55555556
"15","Documentary",305123.319472914,91119.8231332357
"16","Mystery",7543058.05595668,2998257.8898917
"17","Western",3316118.18181818,1789181.44789357
"18","TV Movie",107969.151670951,277506.426735218
"19","War",5603435.02902375,3802692.14775726
"20","Foreign",218812.110169492,88113.2627118644
